PHT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2016-11-1,32,27,23,27,24,22,100,82,62,1011,1010,1007,10,10,5,21,8,29,1.02,6,Rain,90
2016-11-2,30,28,25,27,26,23,100,96,76,1011,1009,1007,10,9,8,14,6,,9.91,6,Rain,36
2016-11-3,32,28,24,27,26,24,100,91,61,1010,1009,1007,10,9,8,14,5,,2.03,6,Rain,123
2016-11-4,27,26,24,27,26,25,100,100,99,1011,1009,1008,10,9,6,10,5,,13.97,7,Rain,169
2016-11-5,32,28,24,27,25,23,100,86,53,1012,1010,1008,10,10,9,11,3,,0.00,4,,130
2016-11-6,32,28,25,27,25,23,100,83,62,1013,1011,1010,10,10,9,16,6,,0.00,3,Rain,139
2016-11-7,32,29,25,25,22,20,94,70,38,1015,1013,1011,10,10,9,84,11,,0.00,5,,104
2016-11-8,32,28,24,23,21,18,89,64,35,1015,1013,1011,10,10,10,23,8,,0.00,2,,107
2016-11-9,32,28,23,26,20,16,94,64,38,1014,1013,1010,10,10,10,19,8,,0.00,1,,90
2016-11-10,30,27,24,24,22,14,94,71,42,1015,1013,1011,10,10,10,14,5,,0.00,4,Rain,93
2016-11-11,31,28,25,26,23,21,100,80,55,1014,1012,1011,10,10,9,13,8,,0.00,6,Rain,78
2016-11-12,32,28,24,26,24,21,100,81,54,1015,1013,1011,10,10,8,16,8,,0.00,3,,103
2016-11-13,32,29,26,26,22,19,100,70,38,1014,1012,1010,10,10,10,19,6,,0.00,4,,62
2016-11-14,32,29,26,25,23,21,94,71,47,1012,1010,1008,10,10,9,14,5,,0.00,4,Rain,85
2016-11-15,27,26,24,27,25,23,100,94,74,1012,1010,1008,10,8,0,13,5,,14.99,7,Rain-Thunderstorm,125
2016-11-16,32,28,24,28,25,23,100,85,51,1012,1010,1009,10,10,8,19,6,,2.03,3,Rain,107
2016-11-17,34,29,24,27,25,22,100,80,49,1012,1011,1009,10,10,10,23,6,,0.00,2,,93
2016-11-18,32,29,26,26,25,24,95,78,54,1011,1009,1006,10,10,9,19,10,,0.00,6,,97
2016-11-19,32,28,24,27,26,24,100,91,63,1011,1010,1008,10,9,5,18,8,,4.06,6,Rain,106
2016-11-20,33,29,25,26,25,23,100,78,50,1012,1010,1008,10,10,9,21,10,40,0.00,3,,100
2016-11-21,33,29,24,25,23,21,100,72,44,1012,1010,1008,10,10,10,21,8,,0.00,4,,94